Id,Name,Address,Lat,Long
PM-10,Salvation Army Temple,1340 Brown Street Philadelphia PA 19123 United States ,39.9679,-75.19402
PM-13,Mount Tabor CEED Corporation,961-971 N. 7th St. Philadelphia PA 19123 United States ,39.96799,-75.19402
PM-9,Waters Memorial Community Center,1016-1018 South Street Philadelphia PA 19147 United States ,39.94282,-75.19474
PM-8,Mazzoni Center PCHA,1348 Bainbridge St Philadelphia PA 19147 United States ,39.94259,-75.19983
PM-7,Lutheran Church of Holy Communion,2111 Sansom Street Philadelphia PA 19103 United States ,39.95165,-75.20013
PM-6,Mitzvah Food Project Center City,2100 Arch Street Philadelphia PA 19103 United States ,39.95575,-75.20649
PM-5,The Sunday Love Project,1904 Walnut Street Philadelphia PA 19103 United States ,39.95037,-75.21316
PM-4,Bebashi,1235 Spring Garden Street Philadelphia PA 19123 United States ,39.96206,-75.21337
PM-3,Saint Mark’s Food Cupboard,1625 Locust Street Philadelphia PA 19103 United States ,39.94879,-75.21352
PM-2,Liberti Church,123 South 17th Street Philadelphia PA 19103 United States ,39.95046,-75.22293
PM-53,Holy Temple Lord and Savior,5116 Market Street Philadelphia PA 19139 United States ,39.96244,-75.22321
PM-52,Delaware Valley Fairness Project,5500 Kingsessing Avenue Philadelphia PA 19125 United States ,39.93692909,-75.22355308
PM-1,Sunday Breakfast Rescue Mission,302 North 13th Street Philadelphia PA 19107 United States ,39.95834,-75.22408
PM-0,Center – Philadelphia,55 North Broad Street Philadelphia PA 19107 United States ,39.95364,-75.22424
PM-54,Church of the Holy Apostles,260 South 51st Street Philadelphia PA 19139 United States ,39.95505484,-75.22427702
